rank_test_neg_log_rmse,mean_test_neg_log_rmse,std_test_neg_log_rmse,mean_test_log_r2,mean_test_neg_mae_usd,mean_test_neg_rmse_usd,mean_test_r2_usd,params
1,-1.019278954188551,0.0374282578288296,0.4424348839952442,-23503.830018945137,-33698.77225651885,0.5701996217291683,"{""model__regressor__max_depth"": 32, ""model__regressor__max_features"": 0.75, ""model__regressor__max_samples"": null, ""model__regressor__min_samples_leaf"": 4, ""model__regressor__n_estimators"": 160}"
2,-1.0235142630007115,0.03952555230398268,0.43783029092608194,-23896.213818273547,-34066.0894353197,0.5607899354983985,"{""model__regressor__max_depth"": 32, ""model__regressor__max_features"": 0.75, ""model__regressor__max_samples"": 0.9, ""model__regressor__min_samples_leaf"": 8, ""model__regressor__n_estimators"": 160}"
3,-1.023735860185005,0.039133876334450604,0.43762171922658544,-24034.32827945076,-34248.28180206731,0.5560695132785728,"{""model__regressor__max_depth"": 32, ""model__regressor__max_features"": 0.35, ""model__regressor__max_samples"": 0.9, ""model__regressor__min_samples_leaf"": 4, ""model__regressor__n_estimators"": 160}"
4,-1.0238934947717298,0.03887181257420166,0.4373978134407327,-23991.682013026155,-34173.90578649387,0.5580005534032858,"{""model__regressor__max_depth"": 24, ""model__regressor__max_features"": 0.75, ""model__regressor__max_samples"": 0.9, ""model__regressor__min_samples_leaf"": 8, ""model__regressor__n_estimators"": 240}"
5,-1.0244065416703116,0.04037881544709038,0.4368576152959126,-24034.85014236691,-34215.54303229086,0.5569230393337651,"{""model__regressor__max_depth"": 32, ""model__regressor__max_features"": 0.55, ""model__regressor__max_samples"": null, ""model__regressor__min_samples_leaf"": 8, ""model__regressor__n_estimators"": 240}"
6,-1.0249510237433743,0.038405552445699986,0.4362332800973673,-24009.336658423523,-34203.86905778195,0.5572248191216363,"{""model__regressor__max_depth"": 24, ""model__regressor__max_features"": 0.75, ""model__regressor__max_samples"": 0.9, ""model__regressor__min_samples_leaf"": 8, ""model__regressor__n_estimators"": 100}"
7,-1.0327975924518584,0.04040642794419866,0.42757879987119435,-24872.164601836186,-35166.93456990695,0.5319223472152945,"{""model__regressor__max_depth"": 16, ""model__regressor__max_features"": 0.35, ""model__regressor__max_samples"": null, ""model__regressor__min_samples_leaf"": 8, ""model__regressor__n_estimators"": 100}"
8,-1.0369231689569607,0.04027904007812,0.42302751499236974,-24993.132570655594,-35274.267861826505,0.5290595175063366,"{""model__regressor__max_depth"": 16, ""model__regressor__max_features"": 0.35, ""model__regressor__max_samples"": 0.75, ""model__regressor__min_samples_leaf"": 8, ""model__regressor__n_estimators"": 100}"
