model,tuned,cv_folds,cv_log_rmse_mean,cv_log_rmse_std,cv_log_r2_mean,cv_log_r2_std,cv_mae_usd_mean,cv_mae_usd_std,cv_rmse_usd_mean,cv_r2_usd_mean
Ridge,False,5,1.0111386199225614,0.043944402844995296,0.4514222412542711,0.0199861583878608,24614.202727795262,149.25867630378661,35746.24406270396,0.5163208002143452
Tuned RandomForest,True,5,1.019278954188551,0.041846064392325834,0.4424348839952442,0.021337548761758224,23503.830018945137,192.4412769777524,33698.77225651885,0.5701996217291683
RandomForest,False,5,1.021268159685098,0.04240939442447102,0.44026035923946233,0.02187653575310209,23776.358718585423,227.56716484090776,33947.095244510114,0.5638435387943754
