feature,valid_rows,group_count,eta_squared,kruskal_h,p_value,significant_at_0_05,p_value_bonferroni,significant_bonferroni_0_05
Country,22441,77,0.44429476396233875,11350.958601959888,0.0,True,0.0,True
DevType,22918,33,0.04035084477428717,1158.0153399152873,7.5042622064937e-223,True,3.7521311032468504e-222,True
RemoteWork,22957,3,0.027100312881291062,826.7539141415506,2.9693992753155892e-180,True,1.4846996376577947e-179,True
Industry,15692,15,0.020578334133889802,363.4213247516655,6.273514120329272e-69,True,3.136757060164636e-68,True
ICorPM,15866,2,0.003140907164534864,80.97987036297798,2.2802863568415154e-19,True,1.1401431784207578e-18,True
